tomato_id,label,class_name,is_cherry,source_file,transit_len,valid_slices,IR1_mean,IR2_mean,Green_mean,Red_mean,Blue_mean,IR3_mean,SAT_mean,HUE_mean,IR1_std,Green_std,Red_std,SAT_std,HUE_std,Red_Green_ratio,IR1_IR2_ratio,IR3_IR2_ratio
tomato_0029,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,2004.875,1459.375,1182.5,1548.5,456.75,2119.75,8792.0,1371.0,596.126889057307,344.3959515275571,457.30983557571307,230.6246176922886,31.941911562799657,1.3095137309977698,1.3737901404793824,1.4525053433661304
tomato_0030,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,33,8,3208.625,2461.375,2332.75,2387.0,1460.875,3263.375,4908.625,1948.25,1286.0017704386835,933.6563684170501,958.6769156349957,287.80446611247316,34.416565778706044,1.0232558095670097,1.3035904675086467,1.3258341320366294
tomato_0031,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,27,10,3034.7,2248.5,1911.6,2172.4,963.8,3171.9,7067.3,1603.5,1483.1587200596193,950.9401429930043,1056.8987337173478,336.7214641873079,72.7281849690262,1.1364302095813446,1.3496553197702674,1.4106737762478372
tomato_0032,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2622.777777777778,2020.6666666666667,1786.6666666666667,1964.4444444444443,975.6666666666666,2644.1111111111113,6336.444444444444,1689.3333333333333,1102.6455434292766,732.2653207683674,797.7122148856552,143.84723764389003,45.828484592008934,1.0995024814082572,1.297976458989449,1.3085340306956965
tomato_0033,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,21,8,2269.375,1741.25,1650.375,1797.125,965.25,2306.25,5823.5,1692.25,839.7577775763675,585.5087988847209,628.1317963384982,181.11401302573393,36.2284418654736,1.0889191784356937,1.3033022179279126,1.3244795329534558
tomato_0034,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,12,5,1413.8,1130.8,984.4,1122.0,581.4,1420.6,6009.6,1520.4,311.1023947191664,196.55609886238585,220.6626384325176,126.0725981329805,28.80624932197873,1.13978056542279,1.2502652878469642,1.2562787296048927
tomato_0035,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,12,5,1387.6,1093.0,987.0,1167.2,570.2,1454.4,6379.0,1443.8,274.15378895794964,178.10811323463062,214.40895503686409,106.5152571230995,52.68491245128912,1.1825734429323866,1.2695333827124118,1.3306495761148256
tomato_0036,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,3059.777777777778,2249.3333333333335,2180.222222222222,2232.0,1207.7777777777778,3186.777777777778,5832.111111111111,1944.0,1277.9832528028073,901.4414536976012,903.8697361899003,383.3175721397482,45.92385001282014,1.02374884863228,1.360304281642591,1.4167654550726687
tomato_0037,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,15,6,1523.6666666666667,1095.6666666666667,1100.5,1161.8333333333333,633.8333333333334,1626.5,5676.333333333333,1822.5,314.6653248558962,227.5405458374397,239.96617817239718,102.04051482948655,36.70830968595531,1.0557322333266796,1.3906297408826005,1.484484318669142
tomato_0038,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,24,9,2999.4444444444443,2240.3333333333335,2334.4444444444443,2377.8888888888887,1382.6666666666667,3214.3333333333335,5307.777777777777,1971.111111111111,1332.9672830860395,1044.296546857155,1057.4309013411282,254.08206242166023,28.984670277771162,1.018610181262498,1.3388384605219725,1.434756726224862
tomato_0039,0,Pomodoro Verde Standard,0,01_pomodoro_verde.csv,9,4,1249.0,986.5,904.0,1063.25,524.5,1311.75,6330.0,1440.5,160.11870596529315,105.65036677645753,123.15944949535947,74.93997598078077,45.1848057057532,1.1761614914141427,1.2660922324775243,1.3297009495215313
